National Park Name,National Park Latitude Coordinate,National Park Longitude Coordinate,National Park Latitude & Longitudinal Coordinate Combination,Description,Visitors,ID,States,Area_sq_km,Area_acres,Date Established_readable,Date Established_unix,World Heritage Site,NPS Link,Image URL,Image Attribution,Image Attribution URL
Acadia,44.35,-68.21,POINT(-68.21 44.35),"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.",3303393,park_acadia,"[{""id"":""state_maine"",""title"":""Maine""}]",198.5,49057.36,1919-02-26,-1604599200,False,https://www.nps.gov/acad/index.htm,acadia.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
American Samoa,-14.25,-170.68,POINT(-170.68 -14.25),"The southernmost National Park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.",28892,park_american-samoa,"[{""id"":""state_american-samoa"",""title"":""American Samoa""}]",33.4,8256.67,1988-10-31,594280800,False,https://www.nps.gov/npsa/index.htm,american-samoa.jpg,NPS,https://www.nps.gov
Carlsbad Caverns,32.17,-104.44,POINT(-104.44 32.17),"Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.",466773,park_carlsbad-caverns,"[{""id"":""state_new-mexico"",""title"":""New Mexico""}]",189.3,46766.45,1930-05-14,-1250794800,True,https://www.nps.gov/cave/index.htm,carlsbad-caverns.jpg,PixelBay/@MartinStr,https://pixabay.com/en/users/MartinStr-108372/
Channel Islands,34.01,-119.42,POINT(-119.42 34.01),"Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, and 145 are unique to them, including the island fox. Ferry services offer transportation to the islands from the mainland.",364807,park_channel-islands,"[{""id"":""state_california"",""title"":""California""}]",1009.9,249561.0,1980-03-05,321084000,False,https://www.nps.gov/chis/index.htm,channel-islands.jpg,NPS,https://www.nps.gov
Congaree,33.78,-80.78,POINT(-80.78 33.78),"On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.",143843,park_congaree,"[{""id"":""state_south-carolina"",""title"":""South Carolina""}]",106.3,26275.82,2003-11-10,1068444000,False,https://www.nps.gov/cong/index.htm,congaree.jpg,NPS,https://www.nps.gov
Crater Lake,42.94,-122.1,POINT(-122.1 42.94),"Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. It is the deepest lake in the United States and is noted for its vivid blue color and water clarity. There are two more recent volcanic islands in the lake, and, with no inlets or outlets, all water comes through precipitation.",756344,park_crater-lake,"[{""id"":""state_oregon"",""title"":""Oregon""}]",741.5,183224.05,1902-05-22,-2133716400,False,https://www.nps.gov/crla/index.htm,crater-lake.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/
Cuyahoga Valley,41.24,-81.55,POINT(-81.55 41.24),"This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures, and also offers a scenic train ride.",2423390,park_cuyahoga-valley,"[{""id"":""state_ohio"",""title"":""Ohio""}]",131.8,32572.35,2000-10-11,971240400,False,https://www.nps.gov/cuva/index.htm,cuyahoga-valley.jpg,NPS,https://www.nps.gov
Death Valley,36.24,-116.82,POINT(-116.82 36.24),"Death Valley is the hottest, lowest, and driest place in the United States. Daytime temperatures have topped 130 °F (54 °C) and it is home to Badwater Basin, the lowest elevation in North America. The park contains canyons, badlands, sand dunes, and mountain ranges, while more than 1000 species of plants grow in this geologic graben. Additional points of interest include salt flats, historic mines, and springs.",1296283,park_death-valley,"[{""id"":""state_california"",""title"":""California""},{""id"":""state_nevada"",""title"":""Nevada""}]",13650.3,3373063.14,1994-10-31,783583200,False,https://www.nps.gov/deva/index.htm,death-valley.jpg,PixelBay/@esudroff,https://pixabay.com/en/users/esudroff-627167/
Denali,63.33,-150.5,POINT(-150.5 63.33),"Centered on Denali, the tallest mountain in North America, Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, caribou, and gray wolves.",587412,park_denali,"[{""id"":""state_alaska"",""title"":""Alaska""}]",19185.8,4740911.16,1917-02-26,-1667671200,False,https://www.nps.gov/dena/index.htm,denali.jpg,PixelBay/@MarPockStudios,https://pixabay.com/en/users/MarPockStudios-3375534/
Dry Tortugas,24.63,-82.87,POINT(-82.87 24.63),"The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. With most of the park being remote ocean, it is home to undisturbed coral reefs and shipwrecks and is only accessible by plane or boat.",73661,park_dry-tortugas,"[{""id"":""state_florida"",""title"":""Florida""}]",261.8,64701.22,1992-10-26,720079200,False,https://www.nps.gov/drto/index.htm,dry-tortugas.jpg,Homestead AFRC,http://www.homestead.afrc.af.mil/News/Photos/igphoto/2000830258/
Everglades,25.32,-80.93,POINT(-80.93 25.32),"The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.",930907,park_everglades,"[{""id"":""state_florida"",""title"":""Florida""}]",6106.6,1508968.1,1934-05-30,-1123182000,True,https://www.nps.gov/ever/index.htm,everglades.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Gates of the Arctic,67.78,-153.3,POINT(-153.3 67.78),"The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.",10047,park_gates-of-the-arctic,"[{""id"":""state_alaska"",""title"":""Alaska""}]",30448.1,7523897.45,1980-12-02,344584800,False,https://www.nps.gov/gaar/index.htm,gates-of-the-arctic.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Arches,38.68,-109.57,POINT(-109.57 38.68),"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch. Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.",1585718,park_arches,"[{""id"":""state_utah"",""title"":""Utah""}]",310.3,76678.98,1971-11-12,58773600,False,https://www.nps.gov/arch/index.htm,arches.jpg,PixelBay/@LoggaWiggler,https://pixabay.com/en/users/LoggaWiggler-15/
Glacier,48.8,-114.0,POINT(-114 48.8),"The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 glaciers and 130 named lakes surrounded by Rocky Mountain peaks. There are historic hotels and a landmark road called the Going-to-the-Sun Road in this region of rapidly receding glaciers. The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs.",2946681,park_glacier,"[{""id"":""state_montana"",""title"":""Montana""}]",4100.0,1013128.94,1910-05-11,-1882206000,True,https://www.nps.gov/glac/index.htm,glacier.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Glacier Bay,58.5,-137.0,POINT(-137 58.5),"Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).",520171,park_glacier-bay,"[{""id"":""state_alaska"",""title"":""Alaska""}]",13044.6,3223383.43,1980-12-02,344584800,True,https://www.nps.gov/glba/index.htm,glacier-bay.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Grand Canyon,36.06,-112.14,POINT(-112.14 36.06),"The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have exposed the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from both the north and south rims, or from a number of trails that descend into the canyon itself.",5969811,park_grand-canyon,"[{""id"":""state_arizona"",""title"":""Arizona""}]",4862.9,1201647.03,1919-02-26,-1604599200,True,https://www.nps.gov/grca/index.htm,grand-canyon.jpg,PixelBay/@BKD,https://pixabay.com/en/users/BKD-1006949/
Grand Teton,43.73,-110.8,POINT(-110.8 43.73),"Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley.",3270076,park_grand-teton,"[{""id"":""state_wyoming"",""title"":""Wyoming""}]",1254.7,310043.96,1929-02-26,-1288980000,False,https://www.nps.gov/grte/index.htm,grand-teton.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/
Great Basin,38.98,-114.3,POINT(-114.3 38.98),"Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park contains 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park has some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.",144846,park_great-basin,"[{""id"":""state_nevada"",""title"":""Nevada""}]",312.3,77180.0,1986-10-27,530776800,False,https://www.nps.gov/grba/index.htm,great-basin.jpg,PixelBay/@vmalysova0,https://pixabay.com/en/users/vmalysova0-695458/
Great Sand Dunes,37.73,-105.51,POINT(-105.51 37.73),"The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also has alpine lakes, six 13,000-foot mountains, and old-growth forests.",388308,park_great-sand-dunes,"[{""id"":""state_colorado"",""title"":""Colorado""}]",434.4,107341.87,2004-09-13,1095051600,False,https://www.nps.gov/grsa/index.htm,great-sand-dunes.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/
Great Smoky Mountains,35.68,-83.53,POINT(-83.53 35.68),"The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.",11312786,park_great-smoky-mountains,"[{""id"":""state_tennessee"",""title"":""Tennessee""},{""id"":""state_north-carolina"",""title"":""North Carolina""}]",2114.2,522426.88,1934-06-15,-1121799600,True,https://www.nps.gov/grsm/index.htm,great-smoky-mountains.jpg,PixelBay/@Broesis,https://pixabay.com/en/users/Broesis-5213623/
Guadalupe Mountains,31.92,-104.87,POINT(-104.87 31.92),"This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.",181839,park_guadalupe-mountains,"[{""id"":""state_texas"",""title"":""Texas""}]",349.5,86367.1,1966-10-15,-101415600,False,https://www.nps.gov/gumo/index.htm,guadalupe-mountains.jpg,NPS,https://www.nps.gov
Haleakala,20.72,-156.17,POINT(-156.17 20.72),"The Haleakala volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. It is home to the greatest number of endangered species within a U.S. National Park.",1263558,park_haleakala,"[{""id"":""state_hawaii"",""title"":""Hawaii""}]",134.6,33264.62,1916-08-01,-1685732400,False,https://www.nps.gov/hale/index.htm,haleakala.jpg,Wikipedia/@KennyLouie,https://commons.wikimedia.org/wiki/File:Taking_it_all_in_(6881870120).jpg
Hawaii Volcanoes,19.38,-155.2,POINT(-155.2 19.38),"This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).",1887580,park_hawaii-volcanoes,"[{""id"":""state_hawaii"",""title"":""Hawaii""}]",1308.9,323431.38,1916-08-01,-1685732400,True,https://www.nps.gov/havo/index.htm,hawaii-volcanoes.jpg,NPS,https://www.nps.gov
Badlands,43.75,-102.5,POINT(-102.5 43.75),"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils. The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.",996263,park_badlands,"[{""id"":""state_south-dakota"",""title"":""South Dakota""}]",982.4,242755.94,1978-11-10,279525600,False,https://www.nps.gov/badl/index.htm,badlands.jpg,PixelBay/@kasabubu,https://pixabay.com/en/users/kasabubu-1559919/
Hot Springs,34.51,-93.05,POINT(-93.05 34.51),"Hot Springs was established by act of Congress as a federal reserve on April 20, 1832. As such it is the oldest park managed by the National Park Service. Congress changed the reserve's designation to National Park on March 4, 1921 after the National Park Service was established in 1916. Hot Springs is the smallest and only National Park in an urban area and is based around natural hot springs that flow out of the low lying Ouachita Mountains. The springs provide opportunities for relaxation in an historic setting; Bathhouse Row preserves numerous examples of 19th-century architecture.",1544300,park_hot-springs,"[{""id"":""state_arkansas"",""title"":""Arkansas""}]",22.5,5549.1,1921-03-04,-1540922400,False,https://www.nps.gov/hosp/index.htm,hot-springs.jpg,Wikipedia/@YinanChen,https://commons.wikimedia.org/wiki/File%3AGfp-arkansas-hot-springs-steam-from-spring.jpg
Isle Royale,48.1,-88.55,POINT(-88.55 48.1),"The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the entire island, though the relationship between its wolf and moose populations is especially unique.",24966,park_isle-royale,"[{""id"":""state_michigan"",""title"":""Michigan""}]",2314.0,571790.11,1940-04-03,-938718000,False,https://www.nps.gov/isro/index.htm,isle-royale.jpg,Flickr/@rtdphotography,https://www.flickr.com/photos/rtdphotography/3047464978
Joshua Tree,33.79,-115.9,POINT(-115.9 33.79),"Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.",2505286,park_joshua-tree,"[{""id"":""state_california"",""title"":""California""}]",3199.6,790635.74,1994-10-31,783583200,False,https://www.nps.gov/jotr/index.htm,joshua-tree.jpg,PixelBay/@nightowl,https://pixabay.com/en/users/nightowl-29/
Katmai,58.5,-155.0,POINT(-155 58.5),"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.",37818,park_katmai,"[{""id"":""state_alaska"",""title"":""Alaska""}]",14870.3,3674529.33,1980-12-02,344584800,False,https://www.nps.gov/katm/index.htm,katmai.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Kenai Fjords,59.92,-149.65,POINT(-149.65 59.92),"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed or reached from boat tours.",346534,park_kenai-fjords,"[{""id"":""state_alaska"",""title"":""Alaska""}]",2711.3,669983.65,1980-12-02,344584800,False,https://www.nps.gov/kefj/index.htm,kenai-fjords.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Kings Canyon,36.8,-118.55,POINT(-118.55 36.8),"Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.",607479,park_kings-canyon,"[{""id"":""state_california"",""title"":""California""}]",1869.2,461901.2,1940-03-04,-941306400,False,https://www.nps.gov/seki/index.htm,kings-canyon.jpg,PixelBay/@tdellav,https://pixabay.com/en/users/tdellav-889026/
