National Park Name,City,Country,Latitude,Longitude,Date,Wind Speed,Cloudiness,Humidity,Max Temp
Acadia,Bar Harbor,US,44.39,-68.2,2020-03-23 15:26:57,17.22,90,51,37.4
Carlsbad Caverns,Carlsbad,US,33.16,-117.35,2020-03-23 15:25:08,8.05,75,63,64.99
Channel Islands,Port Hueneme,US,34.15,-119.2,2020-03-23 15:22:41,9.17,40,55,64.4
Congaree,Orangeburg,US,33.49,-80.86,2020-03-23 15:26:57,5.82,90,87,55.4
Crater Lake,Klamath Falls,US,42.22,-121.78,2020-03-23 15:26:57,19.46,40,29,51.8
Cuyahoga Valley,Macedonia,US,41.31,-81.51,2020-03-23 15:26:57,8.05,90,93,44.01
Death Valley,Pahrump,US,36.21,-115.98,2020-03-23 15:26:57,18.34,75,50,64.99
Denali,Wasilla,US,61.58,-149.44,2020-03-23 15:23:40,4.7,90,63,30.2
Dry Tortugas,Key West,US,24.56,-81.78,2020-03-23 15:22:11,11.41,20,58,82.4
Everglades,Homestead,US,25.47,-80.48,2020-03-23 15:26:57,11.41,75,48,84.2
Gates of the Arctic,Barrow,US,71.29,-156.79,2020-03-23 15:26:58,4.7,75,91,1.4
Arches,Redlands,US,34.06,-117.18,2020-03-23 15:23:53,6.85,75,62,69.8
Glacier,Whitefish,US,48.41,-114.34,2020-03-23 15:26:58,3.51,75,42,44.6
Glacier Bay,Sitka,US,57.05,-135.33,2020-03-23 15:26:58,4.7,20,26,42.8
Grand Canyon,Flagstaff,US,35.2,-111.65,2020-03-23 15:23:11,17.22,90,86,57.0
Grand Teton,Jackson,US,42.42,-122.83,2020-03-23 15:26:58,4.7,75,57,51.8
Great Basin,West Wendover,US,40.74,-114.07,2020-03-23 15:26:58,4.7,20,37,53.6
Great Sand Dunes,Alamosa,US,37.47,-105.87,2020-03-23 15:22:25,21.92,1,12,57.2
Great Smoky Mountains,Sevierville,US,35.87,-83.56,2020-03-23 15:26:58,3.36,75,100,57.99
Guadalupe Mountains,Carlsbad,US,33.16,-117.35,2020-03-23 15:25:08,8.05,75,63,64.99
Haleakala,Kīhei,US,20.79,-156.47,2020-03-23 15:26:58,18.34,40,64,75.2
Hawaii Volcanoes,Hilo,US,19.73,-155.09,2020-03-23 15:26:58,9.17,90,83,69.8
Badlands,Rapid Valley,US,44.06,-103.15,2020-03-23 15:26:58,19.46,40,30,59.0
Hot Springs,Hot Springs,US,34.5,-93.06,2020-03-23 15:26:58,6.93,75,67,63.0
Isle Royale,Thunder Bay,CA,48.4,-89.32,2020-03-23 15:26:59,6.93,20,52,41.0
Joshua Tree,Coachella,US,33.68,-116.17,2020-03-23 15:23:31,16.11,1,37,73.0
Katmai,Saint Paul Harbor,US,57.79,-152.41,2020-03-23 15:26:59,26.4,1,36,46.4
Kenai Fjords,Sterling,US,39.01,-77.43,2020-03-23 15:26:59,3.36,90,81,46.0
Kings Canyon,Exeter,GB,50.72,-3.53,2020-03-23 15:26:59,6.93,0,81,46.0
Kobuk Valley,Barrow,US,71.29,-156.79,2020-03-23 15:26:58,4.7,75,91,1.4
Lake Clark,Kenai,US,60.55,-151.26,2020-03-23 15:26:59,3.36,1,79,30.0
Lassen Volcanic,Magalia,US,39.81,-121.58,2020-03-23 15:26:43,25.28,75,59,62.6
Mammoth Cave,Glasgow,GB,55.87,-4.26,2020-03-23 15:26:59,6.93,100,57,48.2
Big Bend,Ojinaga,MX,29.57,-104.42,2020-03-23 15:26:59,3.36,1,13,84.2
Mesa Verde,Cortez,US,37.35,-108.59,2020-03-23 15:26:59,13.87,90,40,51.8
Mount Rainier,Enumclaw,US,47.2,-121.99,2020-03-23 15:26:59,13.87,75,66,52.0
North Cascades,Hope,US,33.67,-93.59,2020-03-23 15:22:04,5.82,90,82,62.6
Olympic,Port Angeles,US,48.12,-123.43,2020-03-23 15:26:59,5.82,75,70,50.0
Petrified Forest,Show Low,US,34.25,-110.03,2020-03-23 15:24:05,21.92,20,30,60.01
Pinnacles,Soledad,CO,10.92,-74.76,2020-03-23 15:24:01,16.11,45,62,87.8
Redwood,Arcata,US,40.87,-124.08,2020-03-23 15:26:59,11.41,90,71,53.01
Rocky Mountain,Boulder,US,40.08,-105.35,2020-03-23 15:23:20,3.36,40,24,57.2
Saguaro,Catalina Foothills,US,32.3,-110.92,2020-03-23 15:26:59,13.87,1,18,72.0
Sequoia,Lindsay,US,36.2,-119.09,2020-03-23 15:26:59,6.93,90,59,64.99
Biscayne,Key Biscayne,US,25.69,-80.16,2020-03-23 15:26:59,12.75,75,54,84.99
Shenandoah,Culpeper,US,38.5,-77.97,2020-03-23 15:22:43,3.56,90,81,46.99
Theodore Roosevelt,Dickinson,US,29.46,-95.05,2020-03-23 15:27:00,6.93,75,69,84.2
Virgin Islands,Road Town,VG,18.42,-64.62,2020-03-23 15:22:25,11.41,20,69,80.6
Voyageurs,Fort Frances,CA,48.6,-93.4,2020-03-23 15:27:00,10.29,1,55,39.2
Wind Cave,Rapid City,US,44.08,-103.23,2020-03-23 15:27:00,19.46,40,30,59.0
Wrangell–St. Elias,Haines Junction,CA,60.75,-137.51,2020-03-23 15:27:00,4.23,34,93,4.75
Yellowstone,Livingston,GB,55.9,-3.52,2020-03-23 15:27:00,14.99,100,49,50.0
Yosemite,Clovis,US,36.83,-119.7,2020-03-23 15:26:41,4.7,75,67,63.0
Zion,Hurricane,US,37.18,-113.29,2020-03-23 15:27:00,5.82,90,93,48.2
Black Canyon of the Gunnison,Montrose,US,38.42,-108.27,2020-03-23 15:27:00,16.11,75,30,57.2
Bryce Canyon,Cedar City,US,37.68,-113.06,2020-03-23 15:25:52,13.87,90,86,39.2
Canyonlands,Redlands,US,34.06,-117.18,2020-03-23 15:23:53,6.85,75,62,69.8
Capitol Reef,Price,US,39.6,-110.81,2020-03-23 15:24:23,6.93,90,52,44.6
